,company,date,usage
345,Lime,2019-07-22,969
346,Lime,2019-07-23,906
347,Lime,2019-07-24,1059
348,Lime,2019-07-25,1169
349,Lime,2019-07-26,1644
350,Lime,2019-07-27,2082
351,Lime,2019-07-28,1725
352,Lime,2019-07-29,1216
353,Lime,2019-07-30,1098
354,Lime,2019-07-31,1041
355,Lime,2019-08-01,19
356,Lyft,2019-05-01,1102
357,Lyft,2019-05-02,1013
358,Lyft,2019-05-03,2169
359,Lyft,2019-05-04,2429
360,Lyft,2019-05-05,2247
361,Lyft,2019-05-06,1857
362,Lyft,2019-05-07,1778
363,Lyft,2019-05-08,1449
364,Lyft,2019-05-09,930
365,Lyft,2019-05-10,1524
366,Lyft,2019-05-11,2056
367,Lyft,2019-05-12,2250
368,Lyft,2019-05-13,1509
369,Lyft,2019-05-14,1473
370,Lyft,2019-05-15,1680
371,Lyft,2019-05-16,1667
372,Lyft,2019-05-17,2359
373,Lyft,2019-05-18,3483
374,Lyft,2019-05-19,2671
375,Lyft,2019-05-20,1674
376,Lyft,2019-05-21,1186
377,Lyft,2019-05-22,1239
378,Lyft,2019-05-23,1538
379,Lyft,2019-05-24,1771
380,Lyft,2019-05-25,1913
381,Lyft,2019-05-26,2786
382,Lyft,2019-05-27,2124
383,Lyft,2019-05-28,1082
384,Lyft,2019-05-29,963
385,Lyft,2019-05-30,1062
386,Lyft,2019-05-31,1287
387,Lyft,2019-06-01,2315
388,Lyft,2019-06-02,1581
389,Lyft,2019-06-03,1029
390,Lyft,2019-06-04,1172
391,Lyft,2019-06-05,913
392,Lyft,2019-06-06,939
393,Lyft,2019-06-07,704
394,Lyft,2019-06-08,2320
395,Lyft,2019-06-09,2023
396,Lyft,2019-06-10,1245
397,Lyft,2019-06-11,1107
398,Lyft,2019-06-12,1255
399,Lyft,2019-06-13,1281
400,Lyft,2019-06-14,1597
401,Lyft,2019-06-15,2338
402,Lyft,2019-06-16,1834
403,Lyft,2019-06-17,1214
404,Lyft,2019-06-18,681
